Label,Area,Parameter,Aspect Ratio,Solidity,Eccentricity
A,7572477.0,34484.661034584045,0.8586147681740126,0.8346691938840194,0
A,7802190.5,28211.256274700165,0.8172160174339417,0.788036251408535,0
A,6940306.0,25856.706743001938,0.8844339622641509,0.7562912155090836,0
A,8052221.0,31014.737718462944,0.75,0.7865665889417849,0
A,7938136.0,44181.82383286953,0.75,0.731062351329948,0
A,7899433.0,31964.65862250328,0.6987763603228326,0.8505005097178542,0
A,8172385.5,27451.966290712357,0.75,0.7012344258457051,0
A,8480577.5,41393.89511966705,0.75,0.7398710975820469,0
A,8857950.5,43103.948060154915,0.75,0.7920673802913524,0
A,9290263.0,33771.000005722046,0.75,0.8160622684439455,0
M,8192225.0,32366.967278838158,0.75,0.7343505584097659,0
M,7472035.5,34796.05087006092,0.8484162895927602,0.8111342739457299,0
M,8209004.5,27770.610404610634,0.8012820512820513,0.7890458409045503,0
M,8642547.5,23557.89071714878,0.75,0.7294479537841873,0
M,7712130.5,26864.439712166786,0.75,0.7459817106022985,0
M,5471407.5,29843.031541585922,1.0359116022099448,0.6872806833807094,0
M,7669273.0,32642.711580753326,0.75,0.7123708090141376,0
M,8288314.5,29995.593489408493,0.7298469387755102,0.8172898865446876,0
M,8819377.0,33225.066575050354,0.75,0.7804822641460678,0
M,9640836.0,40440.29592549801,0.75,0.811807268573207,0
