area,perimeter,circularity,aspect_ratio,centroid_x,centroid_y,solidity,extent,compactness,hu1,hu2,hu3,label
7679634.0,44218.55231535435,0.04935615810566176,0.8583690987124464,1367,1456,0.8463801390080316,0.7324400572246066,20.260896276796867,0.21511363108570902,0.0024779365888393193,0.000892078543436169,A
7778280.5,33298.797800302505,0.08815284966783184,0.8172160174339417,1496,1508,0.7856973590389261,0.7062817125215655,11.34393276868636,0.22325567776539507,0.0004936881769968981,0.0002269559570811226,A
6463462.0,21644.066803455353,0.17337933484378096,0.8860011813349085,1630,1407,0.7261662080469711,0.6362927741681433,5.767700060108228,0.2566681707599273,0.0005931071156824643,0.0011875803394317576,A
8077120.0,37128.95960986614,0.07362763303491943,0.75,1500,1585,0.7887079248101153,0.6730933333333333,13.581857229142887,0.22354745185524671,0.002265867882455702,0.000676786260920821,A
6975983.5,42631.749487161636,0.04823352456524484,0.75,1345,2181,0.6924697459441015,0.5813319583333333,20.732467905125066,0.29111990523291387,0.005162676111929747,0.003907523927487433,A
7741319.0,35287.46091771126,0.07812391659617134,0.6987763603228326,1171,1732,0.8338229054024834,0.7509104450336028,12.800177507344884,0.22042871369998163,0.004518079758299277,0.000517911952358449,A
8015951.5,28350.20597231388,0.12532926936376862,0.75,1648,1891,0.6881504809463534,0.6679959583333334,7.97898212505729,0.2888709643898725,0.004515913496328907,0.0009458779410753525,A
7991670.0,47790.0105881691,0.04397168952117343,0.75,1508,1811,0.6976393683187327,0.6659725,22.7419053233894,0.29369234490159013,0.003916285862598239,0.00029451472098503367,A
8535999.0,41369.85525596142,0.06267527046561723,0.75,1610,1915,0.7637334814990776,0.71133325,15.95525623696488,0.24124279906298296,0.0011783208634101473,0.0013039954913444851,A
8163156.0,55399.43677663803,0.033423910611480784,0.75,1421,1677,0.749236253457109,0.680263,29.91870136394243,0.22770063029841317,0.0014656799348557585,0.0002015935515783857,A
8258414.5,40687.336703658104,0.06268851975332082,0.75,1438,1924,0.7399734839716374,0.6882012083333333,15.951884075983891,0.25763204295653563,0.0030835736319428392,4.464759485873658e-05,M
7623375.5,45238.8782184124,0.04680944819946941,0.8445945945945946,1340,1504,0.8253882127203133,0.715406859984985,21.363208464639307,0.20973266434751905,0.002350447472207252,0.0011149259402901588,M
8072482.5,36308.3410820961,0.0769492095704909,0.8014961261020572,1502,1546,0.7763807115740606,0.7188959390862945,12.995585082442329,0.23025284697338605,0.00023226178283767594,5.5219088316324666e-05,M
8425511.5,26474.246391773224,0.1510632857815365,0.75,1593,1820,0.7113997656787211,0.7021259583333334,6.619742148639425,0.2708098210891482,0.003155753376567018,0.0003273575363471784,M
7630360.0,29991.249141454697,0.10660210568278211,0.75,1472,1602,0.738468911635282,0.6358633333333333,9.380677741729782,0.24644146329223915,0.004724574887676617,0.0013897843826483059,M
5268378.5,28670.47904610634,0.0805409844690058,1.0362694300518134,1591,1364,0.693687756678454,0.6066066206102475,12.416038947038512,0.24109399802861298,0.00451175470034623,0.0012192902708418121,M
7135932.0,51387.08528673649,0.03395882048229776,0.75,1360,2188,0.6675442612442897,0.594661,29.447430322890206,0.2938195487817042,0.006264509948066118,0.00345615850135017,M
8259806.0,37468.74673831463,0.07393351890058456,0.7301020408163266,1284,1725,0.8143689608896036,0.7362310857256948,13.525664879344646,0.2211601501978415,0.002161325425387236,0.0006901772606098255,M
8640328.0,38960.46422183514,0.07153059661941889,0.75,1587,1828,0.7649306086429805,0.7200273333333334,13.980031584533481,0.24913798096583042,0.001936476285304363,0.0008613244934556164,M
9192361.5,50564.09087228775,0.04518065813057138,0.75,1360,1903,0.7839866533056441,0.766030125,22.13336505878281,0.23803087935398642,0.0034578372914065305,0.0001666069222357193,M
